125.0,108.0,17.0,62.5,2.0,21.3,28.2,64.6,48.3,15.0,60.6,65.1,100.0,61.,108.0,125.0,-17.0,44.4,1.0,12.1,35.4,71.8,51.7,16.0,47.5,55.4,100.0,38.,1
107.8,109.8,-2.0,48.8,1.54,14.5,31.4,64.1,45.6,12.7,48.9,53.9,102.0,47.,109.8,107.8,2.0,52.4,0.96,16.1,35.9,68.6,54.4,22.5,58.4,61.5,102.0,52.,0
112.7,106.9,5.9,68.4,1.3,17.1,42.4,68.2,53.4,19.6,48.4,53.8,102.0,50.,106.9,112.7,-5.9,66.7,1.4,19.7,31.8,57.6,46.6,19.6,56.1,58.6,102.0,49.,1
110.3,95.8,14.5,52.4,1.83,17.2,23.3,66.7,48.0,12.4,57.5,58.2,96.5,60.,95.8,110.3,-14.5,50.0,1.31,13.0,33.3,76.7,52.0,13.5,40.0,45.9,96.5,39.,1
106.4,119.1,-12.8,50.0,2.5,15.4,30.4,81.3,53.8,8.5,47.3,49.4,94.0,42.,119.1,106.4,12.8,61.5,4.0,18.9,18.8,69.6,46.2,6.4,53.0,58.1,94.0,58.,0
113.1,122.4,-9.3,64.3,1.35,19.3,34.1,69.8,51.7,20.2,57.4,60.3,98.5,47.,122.4,113.1,9.3,67.5,1.59,19.6,30.2,65.9,48.3,17.3,60.0,64.7,98.5,52.,0
110.4,113.8,-3.4,62.8,2.45,19.3,35.8,59.5,46.3,11.5,48.9,52.6,86.04,52.,113.8,110.4,3.4,30.0,0.71,9.8,40.5,64.2,53.7,18.1,51.2,57.9,86.04,47.,0
90.0,94.9,-4.9,37.9,0.58,9.2,19.1,76.8,50.5,19.0,42.7,51.0,99.5,49.,94.9,90.0,4.9,50.0,1.07,12.5,23.2,80.9,49.5,15.2,43.4,48.9,99.5,50.,0
115.4,98.9,16.5,47.1,0.94,13.2,36.6,77.1,58.4,18.7,55.6,61.7,91.0,63.,98.9,115.4,-16.5,55.6,1.67,16.7,22.9,63.4,41.6,13.2,48.8,51.2,91.0,36.,1
119.6,128.1,-8.5,56.5,1.73,19.3,30.2,53.8,41.5,15.5,59.0,61.7,96.5,45.,128.1,119.6,8.5,53.7,1.29,16.3,46.2,69.8,58.5,17.7,56.7,64.0,96.5,54.,0
110.2,101.1,9.1,43.8,1.08,12.3,27.9,71.9,46.7,14.8,47.3,55.8,88.5,47.,101.1,110.2,-9.1,75.7,1.22,22.2,28.1,72.1,53.3,25.8,61.9,62.6,88.5,52.,1
113.1,92.9,20.3,52.3,1.21,16.5,37.0,69.0,52.3,19.2,57.5,59.0,98.5,63.,92.9,113.1,-20.3,38.2,0.52,10.5,31.0,63.0,47.7,25.5,48.0,53.7,98.5,36.,1
106.8,101.0,5.8,64.3,1.8,20.0,12.2,69.8,41.7,14.6,53.7,59.1,93.74,52.,101.0,106.8,-5.8,59.5,1.25,17.9,30.2,87.8,58.3,19.2,51.8,56.5,93.74,47.,1
106.2,116.5,-10.3,57.1,2.18,17.3,35.1,70.0,49.5,11.3,46.5,49.4,97.0,41.,116.5,106.2,10.3,61.4,1.8,19.9,30.0,64.9,50.5,15.5,56.8,61.1,97.0,58.,0
106.7,102.2,4.5,66.7,1.86,20.5,26.2,71.7,50.0,15.6,51.9,55.5,90.5,54.,102.2,106.7,-4.5,57.6,1.46,15.7,28.3,73.8,50.0,14.3,45.5,52.5,90.5,45.,1
103.4,100.0,3.4,53.5,0.82,13.8,43.5,66.7,54.6,23.5,49.5,53.4,98.07,49.,100.0,103.4,-3.4,46.7,0.81,13.3,33.3,56.5,45.4,22.0,50.0,53.2,98.07,50.,1
120.7,111.8,8.8,60.5,2.89,20.3,24.4,62.5,44.9,9.8,54.8,59.9,92.5,53.,111.8,120.7,-8.8,65.1,2.33,20.4,37.5,75.6,55.1,12.9,51.2,53.6,92.5,46.,1
90.4,83.0,7.4,45.7,0.94,11.8,42.2,70.0,54.4,18.1,38.7,41.4,94.0,47.,83.0,90.4,-7.4,60.0,0.86,14.3,30.0,57.8,45.6,22.3,41.4,45.8,94.0,52.,1
110.2,106.2,4.0,59.5,1.83,17.3,18.6,55.3,37.8,12.2,52.6,59.3,97.5,53.,106.2,110.2,-4.0,53.7,1.05,15.8,44.7,81.4,62.2,21.6,50.0,54.0,97.5,46.,1
95.7,101.1,-5.5,61.1,1.38,18.3,20.5,80.4,54.4,17.4,52.0,55.1,91.0,49.,101.1,95.7,5.5,64.7,2.75,18.0,19.6,79.5,45.6,8.9,47.6,49.9,91.0,50.,0
102.0,108.1,-6.1,66.7,1.63,18.6,32.0,81.8,55.3,16.0,48.9,52.7,99.5,49.,108.1,102.0,6.1,48.7,1.46,15.1,18.2,68.0,44.7,13.1,52.4,57.3,99.5,50.,0
107.4,94.7,12.8,52.8,1.46,15.8,17.1,74.1,49.5,13.8,52.7,58.2,94.0,63.,94.7,107.4,-12.8,48.6,1.21,13.6,25.9,82.9,50.5,14.9,45.9,48.1,94.0,36.,1
91.0,97.8,-6.7,53.1,1.42,14.2,26.8,75.6,47.4,13.5,41.0,44.1,89.0,42.,97.8,91.0,6.7,54.8,0.89,14.7,24.4,73.2,52.6,21.3,50.0,55.3,89.0,57.,0
112.7,112.0,0.7,57.1,2.33,17.9,34.5,67.9,50.9,10.9,53.0,55.4,98.72,52.,112.0,112.7,-0.7,51.1,1.5,16.2,32.1,65.5,49.1,14.8,52.0,55.9,98.72,47.,1
97.9,110.8,-12.9,35.3,0.57,9.9,33.3,75.0,54.8,22.3,47.4,52.6,93.5,41.,110.8,97.9,12.9,56.8,1.75,16.8,25.0,66.7,45.2,12.9,53.0,56.4,93.5,58.,0
104.8,101.9,2.9,52.5,1.75,14.5,35.0,58.8,45.9,11.5,44.3,49.3,86.48,51.,101.9,104.8,-2.9,43.2,0.7,11.6,41.2,65.0,54.1,21.9,45.9,53.5,86.48,48.,1
105.4,91.3,14.1,55.9,1.06,15.1,34.1,66.0,51.1,19.6,48.0,55.5,92.0,64.,91.3,105.4,-14.1,39.3,0.65,9.2,34.0,65.9,48.9,18.5,37.5,46.2,92.0,35.,1
